vente_id;date_mutation;nature_mutation;valeur_fonciere
224;2020-02-07 00:00:00;Vente;41000
225;2020-03-06 00:00:00;Vente;107000
226;2020-06-19 00:00:00;Vente;68700
227;2020-01-10 00:00:00;Vente;290000
228;2020-02-04 00:00:00;Vente;57000
229;2020-01-31 00:00:00;Vente;274000
230;2020-02-06 00:00:00;Vente;39000
231;2020-02-18 00:00:00;Vente;102345
232;2020-02-07 00:00:00;Vente;63500
233;2020-02-04 00:00:00;Vente;181000
234;2020-02-13 00:00:00;Vente;125000
235;2020-02-13 00:00:00;Vente;59000
236;2020-02-17 00:00:00;Vente;63000
237;2020-02-05 00:00:00;Vente;90000
238;2020-01-31 00:00:00;Vente;110000
239;2020-02-12 00:00:00;Vente;81000
240;2020-02-19 00:00:00;Vente;67000
241;2020-02-18 00:00:00;Vente;30000
242;2020-02-03 00:00:00;Vente;79180
243;2020-03-03 00:00:00;Vente;55000
244;2020-02-14 00:00:00;Vente;97000
245;2020-03-10 00:00:00;Vente;44000
246;2020-03-10 00:00:00;Vente;82500
247;2020-03-02 00:00:00;Vente;230000
248;2020-02-27 00:00:00;Vente;13000
249;2020-04-20 00:00:00;Vente;103090
250;2020-04-23 00:00:00;Vente;95000
251;2020-05-15 00:00:00;Vente;36000
252;2020-03-10 00:00:00;Vente;100789
253;2020-03-02 00:00:00;Vente;76280
254;2020-05-06 00:00:00;Vente;65000
255;2020-05-29 00:00:00;Vente;151000
256;2020-05-14 00:00:00;Vente;134000
257;2020-05-25 00:00:00;Vente;56500
258;2020-06-05 00:00:00;Vente;47500
259;2020-06-04 00:00:00;Vente;44000
260;2020-05-16 00:00:00;Vente;41500
261;2020-05-27 00:00:00;Vente;95000
262;2020-05-28 00:00:00;Vente;87000
263;2020-06-10 00:00:00;Vente;53000
264;2020-06-30 00:00:00;Vente;36000
265;2020-06-05 00:00:00;Vente;70000
266;2020-06-18 00:00:00;Vente;169000
267;2020-06-09 00:00:00;Vente;148586
268;2020-06-10 00:00:00;Vente;140000
269;2020-06-25 00:00:00;Vente;45375
270;2020-01-24 00:00:00;Vente;55000
271;2020-02-07 00:00:00;Vente;290000
272;2020-03-11 00:00:00;Vente;110500
273;2020-06-10 00:00:00;Vente;67000
274;2020-06-08 00:00:00;Vente;43000
275;2020-01-21 00:00:00;Vente;111324
276;2020-01-03 00:00:00;Vente;164000
277;2020-01-07 00:00:00;Vente;131990
278;2020-01-15 00:00:00;Vente;74169
279;2020-01-16 00:00:00;Vente;106000
280;2020-03-16 00:00:00;Vente;135000
281;2020-02-28 00:00:00;Vente;59500
282;2020-03-17 00:00:00;Vente;108254
283;2020-05-06 00:00:00;Vente;45500
284;2020-05-19 00:00:00;Vente;55000
285;2020-06-18 00:00:00;Vente;41000
286;2020-05-16 00:00:00;Vente;172200
287;2020-05-25 00:00:00;Vente;100000
288;2020-05-15 00:00:00;Vente;96000
289;2020-05-25 00:00:00;Vente;153500
290;2020-05-20 00:00:00;Vente;35722,61
291;2020-06-09 00:00:00;Vente;26500
292;2020-01-04 00:00:00;Vente;84000
293;2020-01-03 00:00:00;Vente;71000
294;2020-01-10 00:00:00;Vente;38550
295;2020-01-21 00:00:00;Vente;118500
296;2020-01-06 00:00:00;Vente;196000
297;2020-01-11 00:00:00;Vente;48000
298;2020-01-03 00:00:00;Vente;43000
299;2020-01-21 00:00:00;Vente;29800
300;2020-01-20 00:00:00;Vente;175000
301;2020-01-22 00:00:00;Vente;34000
302;2020-01-17 00:00:00;Vente;40000
303;2020-01-15 00:00:00;Vente;42000
304;2020-01-21 00:00:00;Vente;39735
305;2020-01-29 00:00:00;Vente;105000
306;2020-01-14 00:00:00;Vente;128690
307;2020-01-23 00:00:00;Vente;113330
308;2020-01-16 00:00:00;Vente;300000
309;2020-01-20 00:00:00;Vente;77000
310;2020-01-29 00:00:00;Vente;75000
311;2020-01-03 00:00:00;Vente;33880
312;2020-01-20 00:00:00;Vente;42800
313;2020-02-07 00:00:00;Vente;64000
314;2020-01-31 00:00:00;Vente;105375
315;2020-01-30 00:00:00;Vente;40000
316;2020-02-04 00:00:00;Vente;61000
317;2020-02-10 00:00:00;Vente;44585
318;2020-01-24 00:00:00;Vente;67830
319;2020-01-23 00:00:00;Vente;71000
320;2020-02-07 00:00:00;Vente;43000
321;2020-02-05 00:00:00;Vente;75000
322;2020-01-31 00:00:00;Vente;113000
323;2020-02-13 00:00:00;Vente;52800
324;2020-02-14 00:00:00;Vente;57000
325;2020-02-14 00:00:00;Vente;37000
326;2020-01-27 00:00:00;Vente;51000
327;2020-02-04 00:00:00;Vente;115000
328;2020-01-31 00:00:00;Vente;160500
329;2020-02-07 00:00:00;Vente;62500
330;2020-02-14 00:00:00;Vente;52500
331;2020-01-30 00:00:00;Vente;66450,35
332;2020-01-31 00:00:00;Vente;47000
333;2020-02-12 00:00:00;Vente;150500
334;2020-02-12 00:00:00;Vente;201500
335;2020-01-27 00:00:00;Vente;24000
336;2020-02-21 00:00:00;Vente;270200
337;2020-01-29 00:00:00;Vente;128014,89
338;2020-02-13 00:00:00;Vente;90000
339;2020-02-25 00:00:00;Vente;68730
340;2020-02-17 00:00:00;Vente;19000
341;2020-02-22 00:00:00;Vente;44000
342;2020-02-04 00:00:00;Vente;37000
343;2020-02-08 00:00:00;Vente;67500
344;2020-02-13 00:00:00;Vente;76600
345;2020-02-06 00:00:00;Vente;52300
346;2020-02-19 00:00:00;Vente;40000
347;2020-02-11 00:00:00;Vente;80000
348;2020-02-12 00:00:00;Vente;62000
349;2020-02-21 00:00:00;Vente;146200
350;2020-02-14 00:00:00;Vente;61500
351;2020-02-07 00:00:00;Vente;88000
352;2020-02-26 00:00:00;Vente;77000
353;2020-02-29 00:00:00;Vente;63500
354;2020-02-25 00:00:00;Vente;58000
355;2020-02-26 00:00:00;Vente;230000
356;2020-02-24 00:00:00;Vente;135700
357;2020-02-27 00:00:00;Vente;76000
358;2020-02-14 00:00:00;Vente;61400
359;2020-02-27 00:00:00;Vente;44000
360;2020-02-17 00:00:00;Vente;69300
361;2020-02-14 00:00:00;Vente;41500
362;2020-02-21 00:00:00;Vente;230000
363;2020-02-21 00:00:00;Vente;220000
364;2020-02-26 00:00:00;Vente;67560
365;2020-02-22 00:00:00;Vente;39980
366;2020-02-19 00:00:00;Vente;61700
367;2020-02-20 00:00:00;Vente;70020
368;2020-03-03 00:00:00;Vente;226750
369;2020-03-03 00:00:00;Vente;81860
370;2020-03-03 00:00:00;Vente;69450
371;2020-03-02 00:00:00;Vente;33000
372;2020-02-21 00:00:00;Vente;83000
373;2020-02-15 00:00:00;Vente;62700
374;2020-02-25 00:00:00;Vente;44000
375;2020-02-15 00:00:00;Vente;43000
376;2020-03-09 00:00:00;Vente;101000
377;2020-02-28 00:00:00;Vente;77000
378;2020-03-06 00:00:00;Vente;70200
379;2020-03-06 00:00:00;Vente;43000
380;2020-03-31 00:00:00;Vente;47200
381;2020-03-14 00:00:00;Vente;65000
382;2020-04-21 00:00:00;Vente;70000
383;2020-03-18 00:00:00;Vente;46890
384;2020-02-26 00:00:00;Vente;54090
385;2020-04-30 00:00:00;Vente;43500
386;2020-04-30 00:00:00;Vente;77400
387;2020-05-05 00:00:00;Vente;128490
388;2020-04-30 00:00:00;Vente;130000
389;2020-05-04 00:00:00;Vente;87000
390;2020-04-24 00:00:00;Vente;155000
391;2020-04-29 00:00:00;Vente;19400
392;2020-05-07 00:00:00;Vente;51400
393;2020-05-12 00:00:00;Vente;35000
394;2020-04-15 00:00:00;Vente;110000
395;2020-05-18 00:00:00;Vente;64500
396;2020-05-15 00:00:00;Vente;86000
397;2020-05-15 00:00:00;Vente;45000
398;2020-05-19 00:00:00;Vente;87000
399;2020-05-12 00:00:00;Vente;111300
400;2020-05-13 00:00:00;Vente;230000
401;2020-05-20 00:00:00;Vente;67500
402;2020-05-27 00:00:00;Vente;105000
403;2020-05-13 00:00:00;Vente;28500
404;2020-05-28 00:00:00;Vente;27000
405;2020-05-26 00:00:00;Vente;113000
406;2020-04-30 00:00:00;Vente;48700
407;2020-05-13 00:00:00;Vente;29900
408;2020-05-07 00:00:00;Vente;29500
409;2020-05-27 00:00:00;Vente;46937
410;2020-05-29 00:00:00;Vente;55500
411;2020-05-14 00:00:00;Vente;142500
412;2020-05-16 00:00:00;Vente;35000
413;2020-06-03 00:00:00;Vente;32500
414;2020-05-26 00:00:00;Vente;64050
415;2020-05-29 00:00:00;Vente;60000
416;2020-05-29 00:00:00;Vente;45710
417;2020-05-29 00:00:00;Vente;55500
418;2020-05-30 00:00:00;Vente;35500
419;2020-06-06 00:00:00;Vente;20140
420;2020-05-26 00:00:00;Vente;25650
421;2020-05-18 00:00:00;Vente;126000
422;2020-05-20 00:00:00;Vente;61000
423;2020-06-11 00:00:00;Vente;54000
424;2020-06-03 00:00:00;Vente;30500
425;2020-05-28 00:00:00;Vente;80000
426;2020-05-20 00:00:00;Vente;28350
427;2020-06-06 00:00:00;Vente;78500
428;2020-01-25 00:00:00;Vente;57950
429;2020-06-16 00:00:00;Vente;55000
430;2020-05-29 00:00:00;Vente;63000
431;2020-06-03 00:00:00;Vente;62000
432;2020-06-10 00:00:00;Vente;134300
433;2020-06-20 00:00:00;Vente;56000
434;2020-06-12 00:00:00;Vente;130000
435;2020-05-28 00:00:00;Vente;41000
436;2020-06-11 00:00:00;Vente;272000
437;2020-06-15 00:00:00;Vente;117000
438;2020-06-15 00:00:00;Vente;75000
439;2020-06-03 00:00:00;Vente;206000
440;2020-06-13 00:00:00;Vente;83000
441;2020-06-26 00:00:00;Vente;35000
442;2020-06-18 00:00:00;Vente;300000
443;2020-06-06 00:00:00;Vente;33000
444;2020-06-26 00:00:00;Vente;57500
445;2020-06-05 00:00:00;Vente;63000
446;2020-06-26 00:00:00;Vente;25000
447;2020-06-10 00:00:00;Vente;225500
448;2020-06-29 00:00:00;Vente;55800
449;2020-06-23 00:00:00;Vente;135000
450;2020-06-11 00:00:00;Vente;95000
451;2020-06-17 00:00:00;Vente;64000
452;2020-06-30 00:00:00;Vente;135000
453;2020-06-30 00:00:00;Vente;90000
454;2020-01-29 00:00:00;Vente;75000
