cadastre_id;code_type_voie;code_voie;code_id_commune;prefixe_section;section;numero_plan;nature_culture;nature_culture_speciale;surface_terrain
253;15;760;62;;BS;40;;;
254;12;1192;62;;BW;69;;;
255;0;360;70;;AA;95;;;
256;1;2210;62;;AR;105;;;
257;0;1122;62;;CT;105;;;
258;0;1760;62;;AI;174;;;
259;12;170;65;;AC;73;;;
260;1;890;62;;CS;248;;;
261;0;710;65;;AC;248;;;
262;0;302;65;;BL;242;;;
263;0;1540;62;;AP;50;;;
264;1;890;62;;CS;249;;;
265;12;1192;62;;BW;72;;;
266;0;40;69;;AB;34;;;
267;15;760;62;;BS;40;;;
268;15;760;62;;BS;40;;;
269;15;1130;62;;AN;16;;;
270;1;814;71;;AW;312;;;
271;12;640;71;;AB;93;;;
272;6;590;71;;AC;293;;;
273;18;A047;71;;BP;260;;;
274;0;160;72;;AO;114;;;
275;0;950;73;;AT;477;;;
276;0;720;73;;AP;54;;;
277;0;950;73;;AT;477;;;
278;0;950;73;;AT;477;;;
279;0;459;73;;AV;34;;;
280;18;A063;74;;BZ;430;;;
281;0;2170;73;;AR;122;;;
282;10;1320;74;;CE;252;;;
283;3;990;74;;BP;183;;;
284;0;865;74;;BL;785;;;
285;0;1010;73;;AH;123;;;
286;1;815;75;;BS;243;;;
287;0;1710;76;;BD;153;;;
288;0;2160;76;;AR;378;;;
289;0;2290;76;;AE;221;;;
290;0;1040;76;;AH;238;;;
291;0;1600;76;;AW;35;;;
292;12;720;77;;AS;456;;;
293;12;88;78;;G;353;;;
294;18;A009;79;;E;730;;;
295;19;182;80;;AH;1110;;;
296;0;1090;81;;AE;221;;;
297;8;B052;82;;AB;54;;;
298;12;440;77;;AS;442;;;
299;8;B029;83;;AE;14;;;
300;12;9;84;;AC;54;;;
301;3;4;85;;AC;264;;;
302;8;B091;86;;G;309;;;
303;0;24;87;;H;213;;;
304;8;B001;83;;A;870;;;
305;1;680;81;;AL;257;;;
306;0;1670;81;;AB;429;;;
307;8;B052;82;;AB;13;;;
308;8;B030;88;;AA;169;;;
309;8;B138;83;;A;168;;;
310;7;A001;89;;C;475;;;
311;18;A004;79;;D;774;;;
312;5;50;90;;AK;226;;;
313;0;1;85;;AC;15;;;
314;5;45;91;;G;1805;;;
315;15;1690;81;;AD;394;;;
316;18;A247;81;;D;610;;;
317;15;1690;81;;AE;128;;;
318;8;B073;79;;E;556;;;
319;8;B033;92;;Y;777;;;
320;8;B081;83;;AH;149;;;
321;10;21;93;;C;531;;;
322;8;B081;91;;C;233;;;
323;18;A008;79;;AB;216;;;
324;12;1001;81;;AK;946;;;
325;8;B073;79;;E;722;;;
326;8;B081;91;;C;233;;;
327;8;75;94;;AB;78;;;
328;8;B007;95;;ZE;305;;;
329;12;1360;77;;AS;772;;;
330;0;420;77;;AS;390;;;
331;8;B023;96;;AA;1;;;
332;8;B009;83;;B;2100;;;
333;2;82;97;;AA;8;;;
334;1;700;95;;G;113;;;
335;8;B063;83;;A;871;;;
336;1;103;97;;D;3092;;;
337;0;60;90;;AD;631;;;
338;0;330;95;;G;1483;;;
339;1;265;91;;G;1888;;;
340;8;B029;83;;AE;13;;;
341;0;230;78;;G;52;;;
342;0;1220;77;;AS;243;;;
343;20;265;95;;G;921;;;
344;8;A023;97;;BN;557;;;
345;18;A029;98;;AC;85;;;
346;8;B117;99;;D;1114;;;
347;0;570;77;;AS;1067;;;
348;8;B083;87;;AC;215;;;
349;0;2;100;;D;149;;;
350;8;B110;83;;B;2099;;;
351;19;520;81;;AK;973;;;
352;0;335;101;;G;419;;;
353;1;265;91;;G;1888;;;
354;2;855;97;;BR;96;;;
355;5;250;91;;B;574;;;
356;1;810;81;;BN;279;;;
357;1;265;91;;G;1782;;;
358;18;A031;97;;BR;636;;;
359;0;720;95;;G;669;;;
360;8;B081;91;;C;1000;;;
361;18;A050;98;;AB;82;;;
362;8;B001;83;;A;875;;;
363;18;A045;98;;AB;125;;;
364;8;B052;82;;AB;88;;;
365;8;B080;87;;A;1387;;;
366;8;B081;91;;C;938;;;
367;8;B081;91;;C;938;;;
368;0;903;95;;F;999;;;
369;18;A023;91;;C;225;;;
