adresse_id;type_voie;nom_voie;code_postal;nom_commune;code_departement
184;RUE;EDOUARD HERRIOT;1480;JASSANS-RIOTTIER;1
185;RUE;HECTOR BERLIOZ;1480;BEAUREGARD;1
186;RUE;DE LYON;1800;MEXIMIEUX;1
187;RTE;DE GENEVE;1120;DAGNEUX;1
188;CHE;DU BONATIER;1390;MIONNAY;1
189;MTE;DES CANNES;1800;VILLIEU-LOYES-MOLLON;1
190;RUE;LUCIEN QUITTELIER;2300;CHAUNY;2
191;RUE;FERNAND THUILLART;2000;LAON;2
192;RUE;CONDORCET;2000;LAON;2
193;RUE;DU REMPART SAINT REMY;2000;LAON;2
194;RUE;BONNOT;2000;LAON;2
195;RUE;MAZIN;2800;LA FERE;2
196;RUE;PAUL DOUMER;2000;LAON;2
197;RUE;DES OEUVRES DE CHINE;2300;CHAUNY;2
198;RUE;VINCHON;2000;LAON;2
199;RUE;DU CHANGE;2000;LAON;2
200;RUE;PAUL DOUMER;2000;LAON;2
201;RUE;PAUL DOUMER;2000;LAON;2
202;RUE;CARLIER HENNECART;2000;LAON;2
203;RUE;JEAN DE LA FONTAINE;2000;LAON;2
204;RUE;JEAN RACINE;2000;LAON;2
205;PL;DU MARCHE;2000;LAON;2
206;RUE;DE LA LINOTTE;2000;LAON;2
207;RUE;CONDORCET;2000;LAON;2
208;RLE;DES NEUFLIERS;2000;LAON;2
209;RUE;DE L EGLISE;2000;URCEL;2
210;PL;BOUZIER;2300;CHAUNY;2
211;RUE;CONDORCET;2000;LAON;2
212;RUE;SERURIER;2000;LAON;2
213;RUE;DE MONTEVIDEO;2410;SAINT GOBAIN;2
214;BD;GAMBETTA;2700;TERGNIER;2
215;RUE;DE LA LINOTTE;2000;LAON;2
216;RUE;DE LA LINOTTE;2000;LAON;2
217;RUE;DE LA LINOTTE;2000;LAON;2
218;RUE;ROBERT GODARD;2670;FOLEMBRAY;2
219;RUE;DE LA CONGREGATION;2000;LAON;2
220;RUE;AMPERE;2000;LAON;2
221;AV;CARNOT;2000;LAON;2
222;RUE;SERURIER;2000;LAON;2
223;RUE;DE LA SELLERIE;2100;SAINT QUENTIN;2
224;RUE;D ISLE;2100;SAINT QUENTIN;2
225;RUE;DU GOUVERNEMENT;2100;SAINT QUENTIN;2
226;RUE;VARLET;2100;SAINT QUENTIN;2
227;PL;FERNAND MARQUIGNY;2200;SOISSONS;2
228;RUE;DU MOULIN BOTTE;2200;COURMELLES;2
229;RUE;DES PAVEURS;2200;SOISSONS;2
230;BD;JEANNE D ARC;2200;SOISSONS;2
231;RUE;JEAN DELAPLACE;2200;SOISSONS;2
232;RUE;DE LA SURCHETTE;2200;SOISSONS;2
233;RUE;QUINQUET;2200;SOISSONS;2
234;RUE;DU PONT DE LA TOURNELLE;2290;VIC SUR AISNE;2
235;RUE;DE FONTENOY;2290;VIC SUR AISNE;2
236;;LA FOSSE SALMON;2600;VILLERS-COTTERETS;2
237;RUE;SAINT DENIS;2600;LARGNY SUR AUTOMNE;2
238;RUE;ROGER SALENGRO;2600;VILLERS-COTTERETS;2
239;RUE;DU CHAMP BOUILLANT;2200;SOISSONS;2
240;RUE;DE LA RESISTANCE;2200;SOISSONS;2
241;RUE;PORTE CROUY;2200;SOISSONS;2
242;CHT;DE LA QUINCY;2880;NANTEUIL LA FOSSE;2
243;PTR;PETITE RUE SAINT VINCENT;2370;VAILLY-SUR-AISNE;2
244;RUE;DE BAPAUME;2600;VILLERS-COTTERETS;2
245;PL;DE LAON;2200;SOISSONS;2
246;RUE;DES GRAVIERS;2200;SOISSONS;2
247;RUE;DU CHAMP BOUILLANT;2200;SOISSONS;2
248;RUE;NOTRE DAME;2200;SOISSONS;2
249;RUE;ALEXANDRE DUMAS;2600;VILLERS-COTTERETS;2
250;RUE;FERNAND BAZIN;2600;COEUVRES ET VALSERY;2
251;PL;DU DOCTEUR MOUFLIER;2600;VILLERS-COTTERETS;2
252;BD;EDOUARD BRANLY;2200;SOISSONS;2
253;BD;EDOUARD BRANLY;2200;SOISSONS;2
254;PL;DE LAON;2200;SOISSONS;2
255;RUE;D OULCHY LE CHATEAU;2200;BELLEU;2
256;AV;THIERS;2200;SOISSONS;2
257;RUE;JEAN MOULIN;2200;SOISSONS;2
258;RUE;PORTE CROUY;2200;SOISSONS;2
259;PL;DU DOCTEUR MOUFLIER;2600;VILLERS-COTTERETS;2
260;AV;DU GENERAL DE GAULLE;2200;SOISSONS;2
261;RUE;VICTOR HUGO;2600;VILLERS-COTTERETS;2
262;RUE;DU GRAND MONTOIR;2600;VILLERS-COTTERETS;2
263;RUE;DE PANLEU;2200;SOISSONS;2
264;AV;DU GENERAL DE GAULLE;2200;SOISSONS;2
265;PL;DE LAON;2200;SOISSONS;2
266;RUE;FERNAND BAZIN;2600;COEUVRES ET VALSERY;2
267;BD;EDOUARD BRANLY;2200;SOISSONS;2
268;BD;EDOUARD BRANLY;2200;SOISSONS;2
269;BD;JEANNE D ARC;2200;SOISSONS;2
270;AV;DE LA MARE AUX CANES;2400;CHATEAU THIERRY;2
